Officiality,Name,Size,Type,Alignment,AC,HP,Normal,Flying,Swim,Burrow,Climb,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,WRI,Senses,Languages,CR,XP,Unknown,All Environments,Arctic,Coastal,Desert,Forest,Grassland,Hills,Jungle,Mountain,Swamp,Underdark,Underwater,Urban,Additional,Source,Author
,Air Elemental Myrmidon,Medium,Elemental,N,18,117,30 ft.,fly 30 ft.,,,,18,14,14,9,10,10,-,-,"Lightningres, thunderres, nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Auran, Any",7,2900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Magic Weapons,Monster Manual,Wizards of the Coast
,Albino Dwarf Warrior,Medium,Humanoid,ANY,13,30,25 ft.,,,,,13,13,17,12,14,11,-,"Perception, Stealth, Survival",Poisonres,Darkvision 60,"Common, Dwarvish",0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dwarven Resilience,Curse of Strahd,Wizards of the Coast
,Aldani (Lobsterfolk),Medium,Monstrosity,LN,14,49,20 ft.,,swim 30 ft.,,,13,8,12,10,14,10,-,"Perception, Survival",-,Darkvision 60,Common,1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amphibious,Curse of Strahd,Wizards of the Coast
,Alhoon,Medium,Undead,ANY EVIL,15,120,30 ft.,,,,,11,12,16,19,17,17,"CON, INT, WIS, CHA","Arcana, Deception, History, Insight, Perception, Stealth","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyezdimmu, poisonedimmu",Truesight 120,"Deep Speech, Undercommon, telepathy 120",10,5900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Magic Resistance, Innate Spellcasting (Psionics), Normal Spellcasting, Turn Resistance",Monster Manual,Wizards of the Coast
,Alkilith,Medium,Fiend,CE,17,157,40 ft.,,,,,12,19,22,6,11,7,"DEX, CON",Stealth,"Acidres, coldres, fireres, nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,11,7200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amorphous, False Appearance, Foment Madness, Magic Resistance",Monster Manual,Wizards of the Coast
,Allip,Medium,Undead,NE,13,40,,fly 40 ft.,,,,6,17,10,17,15,16,"INT, WIS","Perception, Stealth","Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Incorporeal Movement,Curse of Strahd,Wizards of the Coast
,Allosaurus,Large,Beast,U,13,51,60 ft.,,,,,19,13,17,2,12,5,-,Perception,-,-,-,2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pounce,Monster Manual,Wizards of the Coast
,Almiraj,Small,Beast,U,13,3,50 ft.,,,,,2,16,10,2,14,10,-,"Perception, Stealth",-,"Darkvision 30, Tremorsense 60",-,0,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Keen Hearing, Keen Sight",Curse of Strahd,Wizards of the Coast
,Ambush Drake,Medium,Dragon,U,13,22,30 ft.,,,,,13,15,14,4,11,6,-,"Perception, Stealth",Poisonres,Darkvision 60,Draconic,0.5,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pack Tactics, Surprise Attack",Curse of Strahd,Wizards of the Coast
,Amnizu,Medium,Fiend,LE,21,202,30 ft.,fly 40 ft.,,,,11,13,16,20,12,18,"DEX, CON, WIS, CHA",Perception,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, poisonedimmu",Darkvision 120,"Common, Infernal, telepathy 1000",18,20000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Devil's Sight, Innate Spellcasting, Magic Resistance",Monster Manual,Wizards of the Coast
,Ancient Black Dragon,Gargantuan,Dragon,CE,22,367,40 ft.,fly 80 ft.,swim 40 ft.,,,27,14,25,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 60, Darkvision 120","Common, Draconic",21,33000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient Blue Dragon,Gargantuan,Dragon,LE,22,481,40 ft.,fly 80 ft.,,burrow 30 ft.,,29,10,27,18,17,21,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 60, Darkvision 120","Common, Draconic",23,50000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary, Legendary Resistance, Lair",Monster Manual,Wizards of the Coast
,Ancient Brass Dragon,Gargantuan,Dragon,CG,20,297,40 ft.,fly 80 ft.,,burrow 40 ft.,,27,10,25,16,15,19,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, Darkvision 120,","Common, Draconic",20,25000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary, Legendary Resistance, Lair",Monster Manual,Wizards of the Coast
,Ancient Bronze Dragon,Gargantuan,Dragon,LG,22,444,40 ft.,fly 80 ft.,swim 40 ft.,,,29,10,27,18,17,21,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, Darkvision 120","Common, Draconic",22,41000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient Copper Dragon,Gargantuan,Dragon,CG,21,350,40 ft.,fly 80 ft.,,,climb 40 ft.,27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, Darkvision 120","Common, Draconic",21,33000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient Gold Dragon,Gargantuan,Dragon,LG,22,546,40 ft.,fly 80 ft.,,,climb 40 ft.,30,14,29,18,17,28,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, Darkvision 120","Common, Draconic",24,62000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient Green Dragon,Gargantuan,Dragon,LE,21,385,40 ft.,fly 80 ft.,swim 40 ft.,,,27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, Darkvision 120","Common, Draconic",22,41000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient Red Dragon,Gargantuan,Dragon,CE,22,546,40 ft.,fly 80 ft.,,,climb 40 ft.,30,10,29,18,15,23,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 60, Darkvision 120","Common, Draconic",24,62000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient Silver Dragon,Gargantuan,Dragon,LG,22,487,40 ft.,fly 80 ft.,,,,30,10,29,18,15,23,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, Darkvision 120","Common, Draconic",23,50000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Ancient White Dragon,Gargantuan,Dragon,CE,20,333,40 ft.,fly 80 ft.,swim 40 ft.,burrow 40 ft.,,26,10,26,10,13,14,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 60, Darkvision 120","Common, Draconic",20,25000,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Androsphinx,Large,Monstrosity,LN,17,199,40 ft.,fly 60 ft.,,,,22,10,20,16,18,23,"DEX, CON, INT, WIS","Arcana, Perception, Religion","Psychicimmu, nonmagicalimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",17,18000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Inscrutable, Magic Weapons, Normal Spellcasting, Lair, Legendary",Volo's Guide to Monsters,Wizards of the Coast
,Angry Sorrowsworn,Medium,Monstrosity,NE,18,255,30 ft.,,,,,17,10,19,8,13,6,-,Perception,Darknessres,Darkvision 60,Common,13,10000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Two Heads, Rising Anger",Volo's Guide to Monsters,Wizards of the Coast
,Animated Armor,Medium,Construct,U,18,33,25 ft.,,,,,14,11,13,1,3,1,-,-,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,-,1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Antimagic, False",Dungeon Master's Guide,Wizards of the Coast
,Animated Table,Large,Construct,U,15,39,40 ft.,,,,,18,8,13,1,3,1,-,-,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,-,2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Antimagic Susceptibility, False Appearance, Charge",Monster Manual,Wizards of the Coast
,Ankheg,Large,Monstrosity,U,14,39,30 ft.,,,burrow 10 ft.,,17,11,13,1,13,6,-,-,-,"Darkvision 60, Tremorsense 60",-,2,450,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-,Monster Manual,Wizards of the Coast
,Ankylosaurus,Huge,Beast,U,15,68,30 ft.,,,,,19,11,15,2,12,5,-,-,-,-,-,3,700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,Monster Manual,Wizards of the Coast
,Ankylosaurus Zombie,Huge,Undead,U,14,68,20 ft.,,,,,19,9,15,2,6,3,-,-,"Poisonimmu, poisonedimmu",Darkvision 60,-,3,700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Undead Fortitude,Volo's Guide to Monsters,Wizards of the Coast
,Annis Hag,Large,Fey,CE,17,75,40 ft.,,,,,21,12,14,13,14,15,CON,"Deception, Perception","Coldres, nonmagicalres",Darkvision 60,"COmmon, Giant, Sylvan",6,2300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Innate Spellcasting,Monster Manual,Wizards of the Coast
,Ape,Medium,Beast,U,12,19,30 ft.,,,,climb 30 ft.,16,14,14,6,12,7,-,"Athletics, Perception",-,-,-,0.5,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,Mordenkainen's Tome of Foes,Wizards of the Coast
,Apprentice Wizard,Medium,Humanoid,ANY,10,9,30 ft.,,,,,10,10,10,14,10,11,-,"Arcana, History",-,-,Any,0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal Spellcasting,Mordenkainen's Tome of Foes,Wizards of the Coast
,Arcanaloth,Medium,Fiend,NE,17,104,30 ft.,fly 30 ft.,,,,17,12,14,20,16,17,"DEX, INT, WIS, CHA","Arcana, Deception, Insight, Perception","Coldres, fireres, lightningres, nonmagicalres, acidimmu, poisonimmu, charmedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",12,8400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Innate Spellcasting, Magic Resistance, Magic Weapons, Normal Spellcasting",Volo's Guide to Monsters,Wizards of the Coast
,Archdruid,Medium,Humanoid,ANY,16,132,30 ft.,,,,,10,14,12,12,20,11,"INT, WIS","Medicine, Nature, Perception",-,-,"Druidic, Any",12,8400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal Spellcasting,Mordenkainen's Tome of Foes,Wizards of the Coast
,Archer,Medium,Humanoid,ANY,16,75,30 ft.,,,,,11,18,16,11,13,10,-,"Acrobatics, Perception, Stealth",-,-,Any,3,700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Archer's Eye,Mordenkainen's Tome of Foes,Wizards of the Coast
,Archmage,Medium,Humanoid,ANY,12,99,30 ft.,,,,,10,14,12,20,15,16,"INT, WIS","Arcana, History","Spellres, nonmagicalres",-,Any,12,8400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Magic Resistance, Normal Spellcasting",Mordenkainen's Tome of Foes,Wizards of the Coast
,Armanite,Large,Fiend,CE,16,84,60 ft.,,,,,21,18,21,8,12,13,-,-,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",7,2900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Magic Resistance, Magic Weapons",Monster Manual,Wizards of the Coast
,Assassin,Medium,Humanoid,NOT GOOD,15,78,30 ft.,,,,,11,16,14,13,11,10,"DEX, INT","Acrobatics, Deception, Perception, Stealth",Poisonres,-,"Thieves' Cant, Any",8,3900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Assassinate, Evasion, Sneak Attack",Mordenkainen's Tome of Foes,Wizards of the Coast
,Assassin Vine,Large,Plant,U,13,85," 5 ft.",,,,climb  5 ft.,18,10,16,1,10,1,-,-,"Coldres, fireres, blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 30,-,3,700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,False Appearance,Monster Manual,Wizards of the Coast
,Astral Dreadnought,Gargantuan,Monstrosity,U,20,297,15 ft.,fly 80 ft.,,,,28,7,25,5,14,18,"DEX, WIS",Perception,"Nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, stunnedimmu",Darkvision 120,-,21,33000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Antimagic Cone, Astral Entity, Demiplanar Donjon, Legendary, Magic Weapons, Sever Silver Cord",Monster Manual,Wizards of the Coast
,Atropal,Huge,Undead,NE,7,225,,fly 50 ft.,,,,19,5,22,25,19,24,"CON, WIS",-,"Radiantweak, coldimmu, necroticimmu, nonmagicalimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu","Darkvision 120, Truesight 120",Celestial,13,10000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Magic Resistance, Negative Energy Aura, Turn Resistance Aura, Legendary",Monster Manual,Wizards of the Coast
,Auroch,Large,Beast,U,11,38,50 ft.,,,,,20,10,19,2,12,5,-,-,-,-,-,2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Charge,Monster Manual,Wizards of the Coast
,Autumn Eladrin,Medium,Fey,CN,19,127,30 ft.,,,,,12,16,16,14,17,18,-,"Insight, Medicine",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10,5900,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Enchanting Presence, Fey Step, Innate Spellcasting, Magic Resistance",Monster Manual,Wizards of the Coast
